Threshold,TF network,Nodes,Edges,Avg degree,Graph density
200,MYOD1,1090,136721,250.864,0.2304
200,PRRX1,523,36823,140.815,0.2698
300,MYOD1,545,29898,109.72,0.2017
300,PRRX1,196,4055,41.378,0.2122
400,MYOD1,313,8871,56.684,0.1817
400,PRRX1,75,546,14.56,0.1968
500,MYOD1,195,2950,30.256,0.156
500,PRRX1,45,184,8.178,0.1859
600,MYOD1,113,881,15.593,0.1392
600,PRRX1,17,30,3.529,0.2206
700,MYOD1,70,325,9.286,0.1346
700,PRRX1,7,6,1.714,0.2857
800,MYOD1,47,160,6.809,0.148
800,PRRX1,5,4,1.6,0.4
900,MYOD1,32,75,4.6875,0.1512
900,PRRX1,3,2,1.33,0.667
999,MYOD1,11,10,1.818,0.1818
999,PRRX1,3,2,1.33,0.667