gene,cell_type,source,category,other_categories?
APOD,Fibroblast Skin Human,CellMarker,fibroblast,unique
APOE,Fibroblast Skin Human,CellMarker,fibroblast,unique
CCL19,Fibroblast Skin Human,CellMarker,fibroblast,unique
CCL2,Fibroblast Skin Human,CellMarker,fibroblast,muscle
CD36,Fibroblast Skin Human,CellMarker,fibroblast,unique
CEL,Fibroblast Skin Human,CellMarker,fibroblast,unique
CFB,Fibroblast Skin Human,CellMarker,fibroblast,unique
CFD,Fibroblast Skin Human,CellMarker,fibroblast,unique
COL18A1,Fibroblast Skin Human,CellMarker,fibroblast,unique
COL1A1,Fibroblast Skin Human,CellMarker,fibroblast,"muscle, myofibroblast"
COL1A2,Fibroblast Skin Human,CellMarker,fibroblast,"muscle, myofibroblast"
COL6A2,Fibroblast Skin Human,CellMarker,fibroblast,unique
COL6A5,Fibroblast Skin Human,CellMarker,fibroblast,unique
CXCL12,Fibroblast Skin Human,CellMarker,fibroblast,myofibroblast
CXCL14,Fibroblast Skin Human,CellMarker,fibroblast,unique
DCN,Fibroblast Skin Human,CellMarker,fibroblast,myofibroblast
DPP4,Fibroblast Skin Human,CellMarker,fibroblast,unique
FBLN1,Fibroblast Skin Human,CellMarker,fibroblast,unique
FN1,Fibroblast Skin Human,CellMarker,fibroblast,"muscle, myofibroblast"
KRT14,Fibroblast Skin Human,CellMarker,fibroblast,myofibroblast
LUM,Fibroblast Skin Human,CellMarker,fibroblast,"muscle, myofibroblast"
LYVE1,Fibroblast Skin Human,CellMarker,fibroblast,unique
MMP2,Fibroblast Skin Human,CellMarker,fibroblast,"muscle, myofibroblast"
MXRA8,Fibroblast Skin Human,CellMarker,fibroblast,unique
PAX1,Fibroblast Skin Human,CellMarker,fibroblast,unique
PCOLCE,Fibroblast Skin Human,CellMarker,fibroblast,unique
PDGFRA,Fibroblast Skin Human,CellMarker,fibroblast,myofibroblast
PLA2G2A,Fibroblast Skin Human,CellMarker,fibroblast,unique
PLPP3,Fibroblast Skin Human,CellMarker,fibroblast,myofibroblast
SDC2,Fibroblast Skin Human,CellMarker,fibroblast,unique
SERPINH1,Fibroblast Skin Human,CellMarker,fibroblast,unique
SMN1,Fibroblast Skin Human,CellMarker,fibroblast,unique
THY1,Fibroblast Skin Human,CellMarker,fibroblast,myofibroblast
TNC,Fibroblast Skin Human,CellMarker,fibroblast,unique
TRIL,Fibroblast Skin Human,CellMarker,fibroblast,unique
VIM,Fibroblast Skin Human,CellMarker,fibroblast,unique
ABI3,Fibroblasts,Panglao,fibroblast,unique
ABI3BP,Fibroblasts,Panglao,fibroblast,unique
ACKR3,Fibroblasts,Panglao,fibroblast,unique
ACTA2,Fibroblasts,Panglao,fibroblast,myofibroblast
ACVRL1,Fibroblasts,Panglao,fibroblast,unique
ADAM33,Fibroblasts,Panglao,fibroblast,myofibroblast
ADAMTS10,Fibroblasts,Panglao,fibroblast,unique
ADAMTS2,Fibroblasts,Panglao,fibroblast,unique
ADAMTS5,Fibroblasts,Panglao,fibroblast,myofibroblast
ADAMTSL1,Fibroblasts,Panglao,fibroblast,myofibroblast
ADGRL4,Fibroblasts,Panglao,fibroblast,myofibroblast
ANGPTL2,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
ARAP1,Fibroblasts,Panglao,fibroblast,unique
ASPN,Fibroblasts,Panglao,fibroblast,unique
BGN,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
C1QTNF1,Fibroblasts,Panglao,fibroblast,muscle
C1QTNF5,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
C1R,Fibroblasts,Panglao,fibroblast,myofibroblast
C1S,Fibroblasts,Panglao,fibroblast,myofibroblast
CCDC80,Fibroblasts,Panglao,fibroblast,myofibroblast
CCL11,Fibroblasts,Panglao,fibroblast,unique
CCL19,Fibroblasts,Panglao,fibroblast,unique
CCN2,Fibroblasts,Panglao,fibroblast,unique
CCN4,Fibroblasts,Panglao,fibroblast,unique
CCR2,Fibroblasts,Panglao,fibroblast,unique
CD248,Fibroblasts,Panglao,fibroblast,unique
CD300E,Fibroblasts,Panglao,fibroblast,unique
CD40,Fibroblasts,Panglao,fibroblast,unique
CD44,Fibroblasts,Panglao,fibroblast,unique
CD55,Fibroblasts,Panglao,fibroblast,unique
CDH11,Fibroblasts,Panglao,fibroblast,myofibroblast
CEBPB,Fibroblasts,Panglao,fibroblast,unique
CELA1,Fibroblasts,Panglao,fibroblast,unique
CKAP4,Fibroblasts,Panglao,fibroblast,unique
CLEC14A,Fibroblasts,Panglao,fibroblast,unique
CLEC3B,Fibroblasts,Panglao,fibroblast,unique
COL12A1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL13A1,Fibroblasts,Panglao,fibroblast,unique
COL14A1,Fibroblasts,Panglao,fibroblast,myofibroblast
COL15A1,Fibroblasts,Panglao,fibroblast,unique
COL16A1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL1A1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL1A2,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL3A1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL4A1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL4A2,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL4A3,Fibroblasts,Panglao,fibroblast,unique
COL4A4,Fibroblasts,Panglao,fibroblast,unique
COL5A1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL5A2,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL5A3,Fibroblasts,Panglao,fibroblast,unique
COL6A1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
COL6A2,Fibroblasts,Panglao,fibroblast,unique
COL6A3,Fibroblasts,Panglao,fibroblast,myofibroblast
COL7A1,Fibroblasts,Panglao,fibroblast,unique
COL8A1,Fibroblasts,Panglao,fibroblast,unique
COPZ2,Fibroblasts,Panglao,fibroblast,unique
COX7A1,Fibroblasts,Panglao,fibroblast,muscle
CTHRC1,Fibroblasts,Panglao,fibroblast,unique
CTSK,Fibroblasts,Panglao,fibroblast,unique
CXCL12,Fibroblasts,Panglao,fibroblast,myofibroblast
CXCL14,Fibroblasts,Panglao,fibroblast,unique
CXCL3,Fibroblasts,Panglao,fibroblast,unique
CXCL8,Fibroblasts,Panglao,fibroblast,unique
CYBRD1,Fibroblasts,Panglao,fibroblast,unique
CYP1B1,Fibroblasts,Panglao,fibroblast,unique
DAB2,Fibroblasts,Panglao,fibroblast,unique
DCN,Fibroblasts,Panglao,fibroblast,myofibroblast
DDR2,Fibroblasts,Panglao,fibroblast,myofibroblast
DKK1,Fibroblasts,Panglao,fibroblast,unique
DKK3,Fibroblasts,Panglao,fibroblast,myofibroblast
DPEP1,Fibroblasts,Panglao,fibroblast,unique
DPT,Fibroblasts,Panglao,fibroblast,unique
EDN3,Fibroblasts,Panglao,fibroblast,unique
EDNRA,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
EFEMP1,Fibroblasts,Panglao,fibroblast,unique
EFEMP2,Fibroblasts,Panglao,fibroblast,myofibroblast
EGR1,Fibroblasts,Panglao,fibroblast,unique
ELN,Fibroblasts,Panglao,fibroblast,myofibroblast
EMILIN1,Fibroblasts,Panglao,fibroblast,unique
EN1,Fibroblasts,Panglao,fibroblast,unique
ENO3,Fibroblasts,Panglao,fibroblast,muscle
ENTPD2,Fibroblasts,Panglao,fibroblast,unique
ERCC1,Fibroblasts,Panglao,fibroblast,unique
FABP4,Fibroblasts,Panglao,fibroblast,unique
FAM180A,Fibroblasts,Panglao,fibroblast,unique
FAP,Fibroblasts,Panglao,fibroblast,myofibroblast
FBLN2,Fibroblasts,Panglao,fibroblast,unique
FBLN5,Fibroblasts,Panglao,fibroblast,unique
FBLN7,Fibroblasts,Panglao,fibroblast,unique
FBN1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
FGF2,Fibroblasts,Panglao,fibroblast,unique
FGR,Fibroblasts,Panglao,fibroblast,unique
FIBIN,Fibroblasts,Panglao,fibroblast,myofibroblast
FKBP10,Fibroblasts,Panglao,fibroblast,muscle
FKBP7,Fibroblasts,Panglao,fibroblast,unique
FLI1,Fibroblasts,Panglao,fibroblast,unique
FMO2,Fibroblasts,Panglao,fibroblast,unique
FMOD,Fibroblasts,Panglao,fibroblast,myofibroblast
FN1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
FNDC1,Fibroblasts,Panglao,fibroblast,myofibroblast
FOSB,Fibroblasts,Panglao,fibroblast,unique
FOSL2,Fibroblasts,Panglao,fibroblast,unique
FOXF1,Fibroblasts,Panglao,fibroblast,unique
FRZB,Fibroblasts,Panglao,fibroblast,unique
FSTL1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
GJB2,Fibroblasts,Panglao,fibroblast,unique
GREM1,Fibroblasts,Panglao,fibroblast,unique
GSN,Fibroblasts,Panglao,fibroblast,unique
GSTM5,Fibroblasts,Panglao,fibroblast,unique
HAS1,Fibroblasts,Panglao,fibroblast,unique
HCK,Fibroblasts,Panglao,fibroblast,unique
HGF,Fibroblasts,Panglao,fibroblast,unique
HHIP,Fibroblasts,Panglao,fibroblast,unique
HIF1A,Fibroblasts,Panglao,fibroblast,unique
HSPB6,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
HTRA1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
HTRA3,Fibroblasts,Panglao,fibroblast,unique
IGF1,Fibroblasts,Panglao,fibroblast,unique
IGFBP3,Fibroblasts,Panglao,fibroblast,unique
IGFBP6,Fibroblasts,Panglao,fibroblast,unique
IGFBP7,Fibroblasts,Panglao,fibroblast,unique
IL1R1,Fibroblasts,Panglao,fibroblast,unique
IL34,Fibroblasts,Panglao,fibroblast,unique
IL6,Fibroblasts,Panglao,fibroblast,unique
INMT,Fibroblasts,Panglao,fibroblast,unique
ISLR,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
ITGAL,Fibroblasts,Panglao,fibroblast,unique
ITGBL1,Fibroblasts,Panglao,fibroblast,unique
ITIH5,Fibroblasts,Panglao,fibroblast,unique
KLF2,Fibroblasts,Panglao,fibroblast,unique
KLF4,Fibroblasts,Panglao,fibroblast,unique
KLF6,Fibroblasts,Panglao,fibroblast,unique
KLF9,Fibroblasts,Panglao,fibroblast,unique
LAMA2,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
LAMA4,Fibroblasts,Panglao,fibroblast,myofibroblast
LAMB1,Fibroblasts,Panglao,fibroblast,muscle
LAMC1,Fibroblasts,Panglao,fibroblast,unique
LMOD1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
LOX,Fibroblasts,Panglao,fibroblast,unique
LRRK1,Fibroblasts,Panglao,fibroblast,unique
LTBP2,Fibroblasts,Panglao,fibroblast,unique
LUM,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
MDK,Fibroblasts,Panglao,fibroblast,unique
MEDAG,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
MEOX1,Fibroblasts,Panglao,fibroblast,muscle
MFAP4,Fibroblasts,Panglao,fibroblast,myofibroblast
MFAP5,Fibroblasts,Panglao,fibroblast,unique
MGP,Fibroblasts,Panglao,fibroblast,unique
MMP14,Fibroblasts,Panglao,fibroblast,myofibroblast
MMP2,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
MMP3,Fibroblasts,Panglao,fibroblast,unique
MRGPRF,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
MXRA5,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
MYL9,Fibroblasts,Panglao,fibroblast,myofibroblast
NFAT5,Fibroblasts,Panglao,fibroblast,unique
NFATC1,Fibroblasts,Panglao,fibroblast,unique
NFKB1,Fibroblasts,Panglao,fibroblast,unique
NGF,Fibroblasts,Panglao,fibroblast,muscle
NID2,Fibroblasts,Panglao,fibroblast,muscle
NNMT,Fibroblasts,Panglao,fibroblast,muscle
NOX4,Fibroblasts,Panglao,fibroblast,unique
NR2F6,Fibroblasts,Panglao,fibroblast,unique
NR4A1,Fibroblasts,Panglao,fibroblast,unique
NR4A2,Fibroblasts,Panglao,fibroblast,unique
NT5E,Fibroblasts,Panglao,fibroblast,unique
OAF,Fibroblasts,Panglao,fibroblast,unique
OLFML2B,Fibroblasts,Panglao,fibroblast,unique
OLFML3,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
P4HA1,Fibroblasts,Panglao,fibroblast,unique
P4HTM,Fibroblasts,Panglao,fibroblast,unique
PALLD,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
PAMR1,Fibroblasts,Panglao,fibroblast,myofibroblast
PBX1,Fibroblasts,Panglao,fibroblast,unique
PCDH18,Fibroblasts,Panglao,fibroblast,myofibroblast
PCSK6,Fibroblasts,Panglao,fibroblast,unique
PDGFRA,Fibroblasts,Panglao,fibroblast,myofibroblast
PDGFRB,Fibroblasts,Panglao,fibroblast,myofibroblast
PENK,Fibroblasts,Panglao,fibroblast,unique
PI16,Fibroblasts,Panglao,fibroblast,unique
PIP4K2A,Fibroblasts,Panglao,fibroblast,unique
PKD2,Fibroblasts,Panglao,fibroblast,unique
PLAC9,Fibroblasts,Panglao,fibroblast,unique
PLSCR4,Fibroblasts,Panglao,fibroblast,myofibroblast
PODN,Fibroblasts,Panglao,fibroblast,myofibroblast
POSTN,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
PRG4,Fibroblasts,Panglao,fibroblast,unique
PRKCD,Fibroblasts,Panglao,fibroblast,unique
PRRX1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
PTCH1,Fibroblasts,Panglao,fibroblast,unique
PTX3,Fibroblasts,Panglao,fibroblast,unique
RARRES2,Fibroblasts,Panglao,fibroblast,unique
RIPK3,Fibroblasts,Panglao,fibroblast,unique
RUNX1,Fibroblasts,Panglao,fibroblast,unique
S100A4,Fibroblasts,Panglao,fibroblast,unique
SCARA5,Fibroblasts,Panglao,fibroblast,unique
SERPINB10,Fibroblasts,Panglao,fibroblast,unique
SERPINH1,Fibroblasts,Panglao,fibroblast,unique
SGCD,Fibroblasts,Panglao,fibroblast,muscle
SLC6A13,Fibroblasts,Panglao,fibroblast,unique
SLIT3,Fibroblasts,Panglao,fibroblast,myofibroblast
SNHG18,Fibroblasts,Panglao,fibroblast,unique
SOD3,Fibroblasts,Panglao,fibroblast,myofibroblast
SPARC,Fibroblasts,Panglao,fibroblast,myofibroblast
SPON2,Fibroblasts,Panglao,fibroblast,unique
SRPX2,Fibroblasts,Panglao,fibroblast,muscle
SSC5D,Fibroblasts,Panglao,fibroblast,unique
STAT3,Fibroblasts,Panglao,fibroblast,unique
SULF1,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
SVEP1,Fibroblasts,Panglao,fibroblast,myofibroblast
SYNPO2,Fibroblasts,Panglao,fibroblast,muscle
TAGLN,Fibroblasts,Panglao,fibroblast,myofibroblast
TBX18,Fibroblasts,Panglao,fibroblast,unique
TBX20,Fibroblasts,Panglao,fibroblast,unique
TCF21,Fibroblasts,Panglao,fibroblast,unique
TCF4,Fibroblasts,Panglao,fibroblast,unique
TEK,Fibroblasts,Panglao,fibroblast,myofibroblast
THBS2,Fibroblasts,Panglao,fibroblast,myofibroblast
THY1,Fibroblasts,Panglao,fibroblast,myofibroblast
TIMP3,Fibroblasts,Panglao,fibroblast,"muscle, myofibroblast"
TNFRSF1B,Fibroblasts,Panglao,fibroblast,unique
TNS1,Fibroblasts,Panglao,fibroblast,myofibroblast
TNXB,Fibroblasts,Panglao,fibroblast,unique
TREML4,Fibroblasts,Panglao,fibroblast,unique
TWIST2,Fibroblasts,Panglao,fibroblast,unique
UCP2,Fibroblasts,Panglao,fibroblast,unique
VCAM1,Fibroblasts,Panglao,fibroblast,unique
VEGFA,Fibroblasts,Panglao,fibroblast,unique
VIM,Fibroblasts,Panglao,fibroblast,unique
VTN,Fibroblasts,Panglao,fibroblast,unique
WIF1,Fibroblasts,Panglao,fibroblast,unique
ZEB2,Fibroblasts,Panglao,fibroblast,unique
CDK1,Myoblast Muscle Human,CellMarker,muscle,unique
ID1,Myoblast Muscle Human,CellMarker,muscle,unique
ID3,Myoblast Muscle Human,CellMarker,muscle,unique
MYOD1,Myoblast Muscle Human,CellMarker,muscle,unique
MYOG,Myoblast Muscle Human,CellMarker,muscle,unique
PCNA,Myoblast Muscle Human,CellMarker,muscle,unique
TTN,Myoblast Muscle Human,CellMarker,muscle,unique
EMD,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
EYA1,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
EYA2,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
GLI2,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
LEMD2,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MAPK12,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MEF2A,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MEF2C,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MEF2D,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MEOX1,Myoblast Skeletal Muscle Human,CellMarker,muscle,fibroblast
MYF5,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MYF6,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MYOD1,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
MYOG,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
NRG1,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
PAX3,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
PAX7,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
RNMT,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
SIX1,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
SIX2,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
SMTN,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
TCF12,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
TEAD4,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
TGFB1,Myoblast Skeletal Muscle Human,CellMarker,muscle,unique
ACHE,Myoblasts,Panglao,muscle,unique
ACTC1,Myoblasts,Panglao,muscle,unique
ADAM12,Myoblasts,Panglao,muscle,unique
ADAMTS12,Myoblasts,Panglao,muscle,unique
AFAP1L1,Myoblasts,Panglao,muscle,unique
AMOTL2,Myoblasts,Panglao,muscle,unique
ANGPT2,Myoblasts,Panglao,muscle,unique
ANGPTL2,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
ANTXR1,Myoblasts,Panglao,muscle,unique
ARL4D,Myoblasts,Panglao,muscle,unique
ASB5,Myoblasts,Panglao,muscle,unique
BCAR1,Myoblasts,Panglao,muscle,unique
BGN,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
BRAF,Myoblasts,Panglao,muscle,unique
C1QTNF1,Myoblasts,Panglao,muscle,fibroblast
C1QTNF5,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
CACNA2D1,Myoblasts,Panglao,muscle,unique
CALD1,Myoblasts,Panglao,muscle,myofibroblast
CAP2,Myoblasts,Panglao,muscle,unique
CAPN1,Myoblasts,Panglao,muscle,unique
CAV1,Myoblasts,Panglao,muscle,unique
CCL2,Myoblasts,Panglao,muscle,fibroblast
CDH15,Myoblasts,Panglao,muscle,unique
CHST3,Myoblasts,Panglao,muscle,unique
COL12A1,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL16A1,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL1A1,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL1A2,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL3A1,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL4A1,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL4A2,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL5A1,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
COL5A2,Myoblasts,Panglao,muscle,"fibroblast, myofibroblast"
